ข้อที่,ค่าความยาก,แปลผลค่าความยาก,ค่าอำนาจจำแนก,แปลผลค่าอำนาจจำแนก
1,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
2,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
3,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
4,0.75,ค่อนข้างง่าย,-0.25,จำแนกไม่ได้
5,0.25,ค่อนข้างยาก,0.25,จำแนกได้บ้าง
6,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
7,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
8,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
9,0.5,ยากพอเหมาะ,0.5,จำแนกได้ปานกลาง
10,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
11,0.25,ค่อนข้างยาก,0.25,จำแนกได้บ้าง
12,0.25,ค่อนข้างยาก,0.25,จำแนกได้บ้าง
13,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
14,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
15,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
16,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
17,1.0,ง่ายมาก,0.0,จำแนกไม่ค่อยได้
18,0.75,ค่อนข้างง่าย,0.25,จำแนกได้บ้าง
19,0.75,ค่อนข้างง่าย,0.25,จำแนกได้บ้าง
20,0.75,ค่อนข้างง่าย,0.25,จำแนกได้บ้าง
21,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
22,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
23,1.0,ง่ายมาก,0.0,จำแนกไม่ค่อยได้
24,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
25,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
26,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
27,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
28,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
29,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
30,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
31,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
32,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
33,0.75,ค่อนข้างง่าย,0.25,จำแนกได้บ้าง
34,0.75,ค่อนข้างง่าย,0.25,จำแนกได้บ้าง
35,0.5,ยากพอเหมาะ,0.0,จำแนกไม่ค่อยได้
36,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
37,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
38,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
39,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
40,0.0,ยากมาก,0.0,จำแนกไม่ค่อยได้
