หัวข้อการประเมิน,มากที่สุด(5),มาก(4),ปานกลาง(3),น้อย(2),น้อยที่สุด(1),ไม่ประเมิน(0),จำนวนผู้ประเมิน,ค่าเฉลี่ย,ค่าเฉลี่ย(%),ส่วนเบี่ยงเบนมาตรฐาน,ระดับความพึงพอใจ
ความรู้ความเข้าใจของผู้เข้าอบรม
ก่อนเข้าอบรม ท่านมีความรู้ความเข้าใจก่อนการฝึกอบรม,0,0,0,1,5,4,10,0.7,14.0,2.05,น้อย
หลังเข้าอบรม ท่านมีความรู้ความเข้าใจหลังการฝึกอบรม,3,6,0,0,0,1,10,3.9,78.0,2.21,มาก
ประโยชน์จากการนำความรู้ความเข้าใจที่ได้จากการฝึก,8,2,0,0,0,0,10,4.8,96.0,2.92,มากที่สุด
วิทยากร
ความรู้เกี่ยวกับหัวข้อหลังการบรรยาย,3,5,0,0,0,2,10,3.5,70.0,1.89,ปานกลาง
การบรรยายชัดเจน/เข้าใจง่าย,6,3,0,0,0,1,10,4.2,84.0,2.21,มาก
วิธีการถ่ายทอดเนื้อหาให้น่าสนใจ,5,2,1,0,0,2,10,3.6,72.0,1.7,มาก
เอกสาร/สื่อ ประกอบการบรรยาย,3,4,0,1,0,2,10,3.3,66.0,1.49,ปานกลาง
การตอบคำถามตรงประเดน,4,3,0,0,1,2,10,3.3,66.0,1.49,ปานกลาง
ความเหมาะสมของวิทยากรโดยรวม,6,1,0,0,0,3,10,3.4,68.0,2.21,ปานกลาง
รูปแบบการดำเนินงาน
การรับข่าวประชาสัมพันธ์การจัดอบรม,3,5,0,0,1,1,10,3.6,72.0,1.8,มาก
การประสานงาน/การต้อนรับ,5,2,0,1,0,2,10,3.5,70.0,1.7,ปานกลาง
ระยะเวลาการอบรม,6,1,2,0,0,1,10,4.0,80.0,2.05,มาก
ความพร้อมของอุปกรณ์/สื่ออิเล็กทรอนิกส์ต่างๆ,4,5,0,0,0,1,10,4.0,80.0,2.05,มาก
ความเหมาะสมของสถานที่,5,2,1,0,0,2,10,3.6,72.0,1.7,มาก
รวม,61,41,4,3,7,24,140,3.53,70.57,1.96,มาก
