หัวข้อการประเมิน,มากที่สุด(5),มาก(4),ปานกลาง(3),น้อย(2),น้อยที่สุด(1),ไม่ประเมิน(0),จำนวนผู้ประเมิน,ค่าเฉลี่ย,ค่าเฉลี่ย(%),ส่วนเบี่ยงเบนมาตรฐาน,ระดับความพึงพอใจ
ความรู้ความเข้าใจของผู้เข้าอบรม
ก่อนเข้าอบรม ท่านมีความรู้ความเข้าใจก่อนการฝึกอบรม,0,0,0,0,1,1,2,0.5,10.0,0.47,น้อย
หลังเข้าอบรม ท่านมีความรู้ความเข้าใจหลังการฝึกอบรม,0,0,0,1,1,0,2,1.5,30.0,0.47,น้อย
ประโยชน์จากการนำความรู้ความเข้าใจที่ได้จากการฝึก,1,0,0,1,0,0,2,3.5,70.0,0.47,ปานกลาง
วิทยากร
ความรู้เกี่ยวกับหัวข้อหลังการบรรยาย,0,0,0,0,1,1,2,0.5,10.0,0.47,น้อย
การบรรยายชัดเจน/เข้าใจง่าย,0,0,0,0,2,0,2,1.0,20.0,0.75,น้อย
วิธีการถ่ายทอดเนื้อหาให้น่าสนใจ,0,1,0,1,0,0,2,3.0,60.0,0.47,ปานกลาง
เอกสาร/สื่อ ประกอบการบรรยาย,0,1,0,1,0,0,2,3.0,60.0,0.47,ปานกลาง
การตอบคำถามตรงประเด็น,1,0,1,0,0,0,2,4.0,80.0,0.47,มาก
ความเหมาะสมของวิทยากรโดยรวม,0,0,1,0,1,0,2,2.0,40.0,0.47,น้อยที่สุด
รูปแบบการดำเนินงาน
การรับข่าวประชาสัมพันธ์การจัดอบรม,0,1,0,0,0,1,2,2.0,40.0,0.47,น้อยที่สุด
การประสานงาน/การต้อนรับ,1,0,0,1,0,0,2,3.5,70.0,0.47,ปานกลาง
ระยะเวลาการอบรม,1,1,0,0,0,0,2,4.5,90.0,0.47,มาก
ความพร้อมของอุปกรณ์/สื่ออิเล็กทรอนิกส์ต่างๆ,1,0,0,0,1,0,2,3.0,60.0,0.47,ปานกลาง
ความเหมาะสมของสถานที่,1,0,0,0,1,0,2,3.0,60.0,0.47,ปานกลาง
รวม,6,4,2,5,8,3,28,2.5,50.0,0.49,น้อยที่สุด
